address,area_sqft,baths,beds,broker_name,broker_phone,detail_url,id,img_src,latitude,longtitude,price,status_text,status_type
--,2046,3.0,4,,,https://www.zillow.com/homedetails/12848-SW-136th-Ter-Miami-FL-33186/60798763_zpid/,60798763,https://photos.zillowstatic.com/fp/ac6a2bd8c63f9f42d8f752404a0902b1-p_e.jpg,,,"$789,900",House for sale,FOR_SALE
--,2319,3.0,5,,,https://www.zillow.com/homedetails/13968-SW-160th-Ct-Miami-FL-33196/54697080_zpid/,54697080,https://photos.zillowstatic.com/fp/3d1b9525cc27079a1a532861289b4b65-p_e.jpg,,,"$685,000",House for sale,FOR_SALE
--,1106,2.0,3,,,https://www.zillow.com/homedetails/5025-SW-93rd-Ct-Miami-FL-33165/44204964_zpid/,44204964,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=25.721542358398438,-80.34623718261719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=WdnAl0wjFf0t7e5r30DvoX1gfz0=",,,"$659,000",House for sale,FOR_SALE
--,3248,3.0,5,,,https://www.zillow.com/homedetails/8300-SW-31st-St-Miami-FL-33155/44191136_zpid/,44191136,https://photos.zillowstatic.com/fp/a78677600e166da1f03cf03b9f234de6-p_e.jpg,,,"$850,000",House for sale,FOR_SALE
--,1766,2.0,4,,,https://www.zillow.com/homedetails/14154-SW-154th-Pl-Miami-FL-33196/44328704_zpid/,44328704,https://photos.zillowstatic.com/fp/66f2769ddf2808bef2983c7d7c5099a7-p_e.jpg,,,"$583,000",House for sale,FOR_SALE
"1871 NW South River Dr, Miami, FL",,,,,,https://www.zillow.com/b/1871-nw-south-river-dr-miami-fl-5XkcKC/,,https://photos.zillowstatic.com/fp/30b0e1ba6f9fe9c2f57a720fa02e5f62-p_e.jpg,,,"From $275,000",For Rent,FOR_SALE
"1155 Brickell Bay Dr, Miami, FL",,,,,,https://www.zillow.com/b/the-mark-miami-fl-5XjJ55/,,https://photos.zillowstatic.com/fp/0ac092113d4465eeae22de07fb7f96b3-p_e.jpg,,,"From $620,000",For Rent,FOR_SALE
--,3029,5.0,5,,,https://www.zillow.com/homedetails/3011-SW-78th-Ct-Miami-FL-33155/44192471_zpid/,44192471,https://photos.zillowstatic.com/fp/897ca8cebcd7bff5d6d5f648ef8c2965-p_e.jpg,,,"$725,000",House for sale,FOR_SALE
--,1400,2.0,2,,,https://www.zillow.com/homedetails/6701-SW-116th-Ct-APT-209-Miami-FL-33173/44214943_zpid/,44214943,https://photos.zillowstatic.com/fp/ac17ea3cb95ce1beb522d89e04b42e6b-p_e.jpg,,,"$260,000",Condo for sale,FOR_SALE
"1750 N Bayshore Dr, Miami, FL",,,,,,https://www.zillow.com/b/opera-tower-miami-fl-5XhxQk/,,https://photos.zillowstatic.com/fp/b34697033d232db947aa3a959a9183fa-p_e.jpg,,,"From $299,000",For Rent,FOR_SALE
--,1120,2.0,2,,,https://www.zillow.com/homedetails/1030-1032-NW-24th-Ave-Miami-FL-33125/2064325071_zpid/,2064325071,https://photos.zillowstatic.com/fp/aebd91f92205eca95a4c4b643c247ec4-p_e.jpg,,,"$420,000",House for sale,FOR_SALE
--,990,2.0,2,,,https://www.zillow.com/homedetails/825-Brickell-Bay-Dr-APT-451-Miami-FL-33131/43874224_zpid/,43874224,https://photos.zillowstatic.com/fp/285b1ad083ec856d4911e887a01dbf01-p_e.jpg,,,"$339,000",Condo for sale,FOR_SALE
--,1491,3.0,3,,,https://www.zillow.com/homedetails/12537-SW-125th-Ter-Miami-FL-33186/62931884_zpid/,62931884,https://photos.zillowstatic.com/fp/66345fed53ae1377b32f3843909363f6-p_e.jpg,,,"$415,000",Townhouse for sale,FOR_SALE
--,1527,2.0,3,,,https://www.zillow.com/homedetails/10241-SW-99th-Ave-Miami-FL-33176/44277512_zpid/,44277512,https://photos.zillowstatic.com/fp/58182214d9ebd87de6b7796d98a8a378-p_e.jpg,,,"$799,000",House for sale,FOR_SALE
--,1870,3.0,5,,,https://www.zillow.com/homedetails/11739-SW-99th-Ln-Miami-FL-33186/44307306_zpid/,44307306,https://photos.zillowstatic.com/fp/f90317c068a359004e71ae9f082efa1f-p_e.jpg,,,"$529,999",House for sale,FOR_SALE
--,1690,2.0,4,,,https://www.zillow.com/homedetails/6794-SW-13th-St-Miami-FL-33144/44185059_zpid/,44185059,https://photos.zillowstatic.com/fp/01a8aa718cd88e30c2ef85bcdee20641-p_e.jpg,,,"$550,000",House for sale,FOR_SALE
--,1344,2.0,3,,,https://www.zillow.com/homedetails/2969-SW-20th-St-Miami-FL-33145/305173151_zpid/,305173151,https://photos.zillowstatic.com/fp/53f83f2e1b3315244cde7c007934724c-p_e.jpg,,,"$650,000",House for sale,FOR_SALE
--,954,2.0,2,,,https://www.zillow.com/homedetails/10395-N-Kendall-Dr-APT-V5-Miami-FL-33176/44218236_zpid/,44218236,https://photos.zillowstatic.com/fp/a9947bd7061ec2fb1cbef7702097c037-p_e.jpg,,,"$212,250",Condo for sale,FOR_SALE
--,1936,2.0,4,,,https://www.zillow.com/homedetails/6280-Coral-Way-Miami-FL-33155/2064409688_zpid/,2064409688,https://photos.zillowstatic.com/fp/39c943626e5813fb9a1b35e38ec31ea9-p_e.jpg,,,"$580,000",House for sale,FOR_SALE
"92 SW 3rd St, Miami, FL",,,,,,https://www.zillow.com/b/92-sw-3rd-st-miami-fl-5XjJ56/,,https://photos.zillowstatic.com/fp/4c0a897c928af008e7c66208cdda1447-p_e.jpg,,,"From $619,888",For Rent,FOR_SALE
--,2847,5.0,4,,,https://www.zillow.com/homedetails/13675-SW-158th-Pl-Miami-FL-33196/162032735_zpid/,162032735,https://photos.zillowstatic.com/fp/44078bcd693122119180b64be97c37f0-p_e.jpg,,,"$860,000",House for sale,FOR_SALE
"501 SW 1st St, Miami, FL",,,,,,https://www.zillow.com/b/501-sw-1st-st-miami-fl-5Y7Y6W/,,https://photos.zillowstatic.com/fp/98200b000b8c04cd5a247348cb2b800e-p_e.jpg,,,"From $225,000",For Rent,FOR_SALE
--,1734,2.0,3,,,https://www.zillow.com/homedetails/14957-SW-142nd-Ct-Miami-FL-33186/44329662_zpid/,44329662,https://photos.zillowstatic.com/fp/79740580dc466aea33f12b7a3f597d98-p_e.jpg,,,"$499,900",House for sale,FOR_SALE
--,830,1.0,2,,,https://www.zillow.com/homedetails/7841-Dunham-Blvd-APT-6-Miami-FL-33138/72572515_zpid/,72572515,https://photos.zillowstatic.com/fp/f5e5992ec9afa4d1dee97336f21b9c5a-p_e.jpg,,,"$185,000",Condo for sale,FOR_SALE
--,1258,2.0,3,,,https://www.zillow.com/homedetails/8972-SW-36th-St-Miami-FL-33165/44192935_zpid/,44192935,https://photos.zillowstatic.com/fp/f7278bd6155e7e364387dbeb91436f9a-p_e.jpg,,,"$489,900",House for sale,FOR_SALE
--,2954,3.0,5,,,https://www.zillow.com/homedetails/6529-SW-30th-St-Miami-FL-33155/44187412_zpid/,44187412,https://photos.zillowstatic.com/fp/654c5ff376a01620dd8537940cc53224-p_e.jpg,,,"$2,650,000",House for sale,FOR_SALE
--,1848,2.0,3,,,https://www.zillow.com/homedetails/11739-SW-117th-Ter-Miami-FL-33186/44326381_zpid/,44326381,https://photos.zillowstatic.com/fp/1b97d53ea988a22b4a3bf8513a324e58-p_e.jpg,,,"$520,000",House for sale,FOR_SALE
